"greenhouse gas","sector","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Carbon Dioxide (CO2) (kt)","NATIONAL TOTAL (excluding LULUCF, including international transports)",61023.6,61409.7,61301.5,61589.6,64679.8,64169.3,68331.1,64046.8,65396.3,62678.2,61444.4,62211.6,62336.1,64347.8,64770.1,62422.3,62746.2,62132.0,60102.8,56555.4,61992.3,57188.6,54361.3,52496.3,51211.4,51294.2,51849.5,52374.4,52895.9
"Carbon Dioxide (CO2) (kt)","NATIONAL TOTAL (including LULUCF, excluding international transports)",21112.9,22375.1,22279.4,26398.9,26560.5,23092.7,24626.1,18834.2,18717.0,16496.1,13177.8,12909.4,14276.5,17317.2,22833.8,19936.9,9603.5,10709.1,7706.6,3724.8,6225.5,3680.4,652.5,980.2,670.3,-308.5,-3499.9,-2441.8,-1974.3
"Carbon Dioxide (CO2) (kt)","NATIONAL TOTAL (including LULUCF, including international transports)",24787.7,26077.6,26129.3,30495.1,31286.5,27895.8,29654.5,24668.5,25416.6,23354.2,19937.8,19504.0,20040.0,24504.4,31128.0,28506.4,18675.5,19900.2,16953.4,13049.1,15175.6,11702.1,8321.8,8390.2,8544.2,7648.9,5377.0,7625.8,9155.4
"Carbon Dioxide (CO2) (kt)","OFF-ROAD VEHICLES AND OTHER MACHINERY, TOTAL",3256.4,3050.1,3451.2,3468.4,3673.4,3502.7,3478.9,3606.1,3746.6,3609.9,3459.1,3463.5,3592.9,3643.9,3669.8,3794.8,3759.3,3660.0,3709.7,3633.6,3773.3,3754.3,3663.7,3616.5,3458.5,3427.9,3231.6,3251.7,3071.5
"Carbon Dioxide (CO2) (kt)","WASTE, TOTAL",43.9,52.2,58.3,48.0,49.1,42.7,49.1,50.6,49.2,48.2,44.4,47.5,60.7,81.3,94.3,94.9,88.9,98.5,102.7,105.5,100.2,105.4,126.3,123.8,122.2,118.8,120.9,127.5,124.2
"Carbon Dioxide (CO2) (kt)","ELECTRICITY AND DISTRICT HEATING, TOTAL",6350.9,7347.0,7832.1,7706.5,8319.6,7386.3,11458.6,6983.2,7804.6,6072.6,4793.0,5616.2,6641.1,7614.9,6590.0,5694.2,5752.4,5575.0,5209.0,6373.4,8327.0,6129.6,5537.9,5359.0,4241.7,4416.8,4778.8,4253.7,4612.0
"Carbon Dioxide (CO2) (kt)","INDUSTRY, TOTAL",19034.1,18739.0,17497.9,18670.3,19897.4,20725.6,20857.0,20893.0,20588.3,19651.5,20176.9,21055.0,20891.5,20555.7,20717.6,19905.1,20390.0,19769.0,19142.5,15049.1,18473.4,17565.8,16968.0,16152.7,16145.9,16140.5,16327.5,16632.5,16342.8
"Carbon Dioxide (CO2) (kt)","DOMESTIC TRANSPORT, TOTAL",19041.3,19196.2,20105.8,19096.7,19529.7,19573.6,19251.3,19241.8,19232.8,19525.1,19404.6,19434.8,19934.3,20135.3,20498.1,20640.8,20617.6,20949.8,20362.7,20044.8,20133.3,19771.2,18626.9,18178.5,17804.4,17780.9,17107.9,16686.2,16286.5
"Carbon Dioxide (CO2) (kt)","INTERNATIONAL TRANSPORT, TOTAL",3674.8,3702.5,3850.0,4096.2,4726.0,4803.1,5028.4,5834.3,6699.6,6858.1,6760.0,6594.6,5763.5,7187.2,8294.1,8569.4,9071.9,9191.1,9246.8,9324.3,8950.1,8021.7,7669.3,7410.0,7873.9,7957.4,8876.9,10067.6,11129.7
"Carbon Dioxide (CO2) (kt)","AGRICULTURE, TOTAL",177.8,140.5,112.9,134.4,161.2,172.9,197.3,178.4,133.8,160.3,159.7,140.0,133.3,129.9,123.2,116.5,89.6,115.6,104.6,114.5,123.8,123.9,142.1,142.6,123.3,124.5,128.1,127.5,128.5
